Total original B.O,XGBoost predictions
4134992.0,21169588.0
6264058.0,20362724.0
17637000.0,22802016.0
67338219.0,93395064.0
356770593.0,300863650.0
159157447.0,75755090.0
22567607.0,11759585.0
108027701.0,74464000.0
4248622.0,21169588.0
139500.0,211644940.0
4304286.0,48888172.0
36299898.0,75755090.0
15126948.0,31684554.0
14717854.0,103541940.0
170362581.0,239403090.0
160700000.0,106657930.0
18471850.0,29103248.0
163527824.0,274826600.0
98393930.0,92473410.0
60282876.0,41457724.0
1324299.0,9277257.0
141267370.0,171948960.0
26300000.0,24044760.0
3180252.0,39289468.0
81464486.0,30423748.0
4984663.0,25983758.0
18429.0,40304500.0
30000000.0,103541940.0
27385582.0,71524330.0
1716001.0,264905260.0
29863840.0,56683084.0
296872367.0,239838660.0
2500000.0,20941266.0
46038636.0,55823836.0
33013805.0,210703420.0
287215196.0,616791230.0
80369970.0,106657930.0
50813834.0,24064444.0
15521619.0,40320196.0
5665641.0,72061416.0
7175592.0,18009356.0
237814327.0,19429210.0
