,Title,MPAA Rating,Keywords,Source,Production method,Creative type,Countries,Total original B.O
907,Ruthless People,['R'],"['Kidnap', 'Misidentified Body', 'Relationships Gone Wrong', 'Faked Death', 'Split Screen', 'Blackmail', 'Revenge']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],71624879.0
908,Ferris Bueller’s Day Off,['PG-13'],"['Breaking the Fourth Wall', 'Buddy Comedy', 'Scene in End Credits', 'Dysfunctional Family', 'Sibling Rivalry', 'Coming of Age', 'Set in Chicago', 'Skipping School', 'High School', 'Slow Motion Scene']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],70178260.0
909,Down and Out in Beverly Hills,['R'],"['Dysfunctional Family', 'Homeless', 'LGBTQ+', 'Closeted Homosexual', 'Foreign-Language Remake', 'Suicide Attempt', 'Infidelity', 'Satire', 'Family Comedy']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],62134225.0
910,The Golden Child,['PG-13'],"['Kidnap', 'Rescue', 'Set in Los Angeles']",['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],79817937.0
911,Legal Eagles,['PG'],"['Crime Comedy', 'No Honor Among Thieves', 'Young Child Dealing with the Death of a Parent', 'White Collar Crime', 'False Identity', 'Hitmen', 'Romance', 'Lawyers']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],49851591.0
912,Stand by Me,['R'],"['Coming of Age', 'Voiceover/Narration', 'Competitive Eating', 'Coming-of-Age Drama']",['Based on Fiction Book/Short Story'],['Live Action'],['Historical Fiction'],['United States'],52288650.0
913,The Color of Money,['R'],"['Gambling', 'Confidence Men', 'Sports Drama']",['Based on Fiction Book/Short Story'],['Live Action'],['Contemporary Fiction'],['United States'],52293000.0
914,Police Academy 3: Back in Training,['PG'],"['Farcical / Slapstick Comedy', 'Police life', 'Beat Cops', 'Corrupt Cops', 'Government Corruption', 'Epilogue', 'Heist']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],43579163.0
915,Poltergeist II: The Other Side,['PG-13'],"['Haunting', 'Religious', 'Occult', 'Visual Effects', 'Possessed', 'Psychics', 'Sequels Without Their Original Stars', 'Posthumous Release', 'Supernatural Horror', 'Supernatural']",['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],40996665.0
916,Short Circuit,['PG'],"['Robot', 'Faulty Memory', 'Whitewashed Casting', 'Scientific Experiment Gone Awry', 'Farcical / Slapstick Comedy']",['Original Screenplay'],['Live Action'],['Science Fiction'],['United States'],40697761.0
917,Pretty in Pink,['PG-13'],"['Cross-Class Romance', 'Romantic Comedy', 'Love Triangle', 'Coming of Age', 'Bullies']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],40476156.0
918,Peggy Sue Got Married,['PG-13'],"['Time Travel', 'High School Reunions', 'Romance', 'Infidelity', 'Relationships Gone Wrong', 'Surprise Twist', 'Comedy Drama', 'Writing and Writers', 'Singers', 'Love Triangle']",['Original Screenplay'],['Live Action'],['Fantasy'],['United States'],41382841.0
919,About Last Night...,['Not Rated'],"['Remade', 'Comedy Drama', 'Romance', 'Relationship Advice', 'Relationships Gone Wrong']",['Based on Play'],['Live Action'],['Contemporary Fiction'],['United States'],38702310.0
920,The Fly,['Not Rated'],"['Body Horror', 'Monster']",['Remake'],['Live Action'],['Science Fiction'],['United States'],37585694.0
921,The Money Pit,['PG'],"['Farcical / Slapstick Comedy', 'Confidence Men', 'Newlyweds', 'White Collar Crime', 'Surprise Twist', 'Romance', 'Relationships Gone Wrong']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],37499651.0
922,Gung Ho,['Not Rated'],"['Comedy Drama', 'Culture Clash', 'Fired', 'Money Troubles', 'Set in Pennsylvania, United States', 'Unemployed', 'Scene in End Credits']",['Original Screenplay'],['Live Action'],['Contemporary Fiction'],['United States'],36611610.0
